DATA,LOCAL,VELOCIDADE DO VENTO
28/11/2020,GKGVE,0.4
28/11/2020,PIDOD,4.0
28/11/2020,EFTDM,13.2
28/11/2020,DMPLW,21.5
28/11/2020,RXCIP,27.5
28/11/2020,WKOUM,21.1
28/11/2020,IPXXJ,15.0
28/11/2020,XBEOU,12.3
28/11/2020,UFWMZ,3.1
28/11/2020,CGILB,29.4
28/11/2020,ICRWF,21.8
28/11/2020,HLOHY,19.2
28/11/2020,UQJIF,2.1
28/11/2020,GGBYI,7.9
28/11/2020,JMXMO,2.0
28/11/2020,MVIRX,26.1
28/11/2020,HMWPM,27.0
28/11/2020,WMQGI,26.0
28/11/2020,FDUYC,3.2
28/11/2020,GVFBA,28.5
28/11/2020,GUWNT,22.2
28/11/2020,APNMN,16.9
28/11/2020,NUGGK,13.6
28/11/2020,TYCYW,24.1
28/11/2020,AOBUQ,22.7
28/11/2020,WRZIC,2.6
28/11/2020,PALPN,13.5
28/11/2020,LSCQF,21.4
28/11/2020,SNUWB,16.7
28/11/2020,OOWLJ,8.7
28/11/2020,VZGRS,15.0
28/11/2020,SUWIW,20.3
28/11/2020,IPBHI,25.5
28/11/2020,YWEYG,10.5
28/11/2020,XIHWT,1.2
28/11/2020,JIXYP,25.2
28/11/2020,GWDFV,26.8
28/11/2020,LECCX,4.5
28/11/2020,MRWAB,21.6
28/11/2020,GRSHX,17.7
28/11/2020,DUNVK,6.2
28/11/2020,FIAJG,16.5
28/11/2020,FKCFL,6.4
28/11/2020,RZXRA,20.2
28/11/2020,IFPOP,11.6
28/11/2020,SRZPM,6.6
28/11/2020,HGVHP,3.1
28/11/2020,WOGQR,6.5
28/11/2020,LHIDE,6.1
28/11/2020,DVWOH,9.5
28/11/2020,REKCM,13.0
28/11/2020,CXWBB,0.3
28/11/2020,GPVYT,25.8
28/11/2020,OLISD,17.4
28/11/2020,BIGSA,14.7
28/11/2020,RENLA,1.8
28/11/2020,DWOZD,17.5
28/11/2020,OFLUR,18.0
28/11/2020,IHJVV,16.9
28/11/2020,YRZRK,7.1
28/11/2020,PEVHE,2.3
28/11/2020,UHBWY,22.0
28/11/2020,WVAXG,1.6
28/11/2020,TYZGZ,17.4
28/11/2020,WTKCW,13.1
28/11/2020,GSOCR,2.6
28/11/2020,RRVRV,9.5
28/11/2020,YQRWY,14.3
28/11/2020,XCTZF,29.1
28/11/2020,EGZIU,29.7
28/11/2020,JBMHV,16.1
28/11/2020,FDEQR,1.0
28/11/2020,AVJOM,26.0
28/11/2020,UMNEI,3.2
28/11/2020,SYZEI,1.6
28/11/2020,CWLTI,6.5
28/11/2020,RAZMS,17.4
28/11/2020,KBBZU,0.5
28/11/2020,WRHTT,29.1
28/11/2020,FXWQA,26.2
28/11/2020,EFTSM,17.8
28/11/2020,SOAYS,21.8
28/11/2020,BBEFC,6.3
28/11/2020,BPYMG,7.3
28/11/2020,AOUGH,24.5
28/11/2020,QDFYZ,8.9
28/11/2020,EOVWI,18.6
28/11/2020,ZEHVO,25.6
28/11/2020,QEUVP,25.6
28/11/2020,DHQPF,24.7
28/11/2020,WIYLF,6.6
28/11/2020,NFQPX,8.3
28/11/2020,WJXRS,14.7
28/11/2020,QWFAU,7.0
28/11/2020,SJFRM,7.0
28/11/2020,FQDLL,19.7
28/11/2020,FQEJP,13.8
28/11/2020,TEXZM,6.6
28/11/2020,FLUAV,3.8
28/11/2020,PFNNW,28.8
28/11/2020,MTLAN,19.8
28/11/2020,KLBZI,5.0
28/11/2020,YPQNJ,18.7
28/11/2020,BYGJD,16.4
28/11/2020,KRFTL,7.3
28/11/2020,JZTIE,18.8
28/11/2020,XIRCS,6.5
28/11/2020,WCJUH,17.3
28/11/2020,VQCVX,16.9
28/11/2020,ZOHFZ,2.6
28/11/2020,VCKJR,32.7
28/11/2020,NCQEO,8.6
28/11/2020,FFRKS,22.4
28/11/2020,JFCPE,18.1
28/11/2020,RSEJJ,23.4
28/11/2020,WNYKN,31.6
28/11/2020,QRZBZ,13.2
28/11/2020,RHMHZ,15.5
28/11/2020,EGPYK,1.9
28/11/2020,IAEQS,32.5
28/11/2020,WNZHM,1.8
28/11/2020,HSWFZ,17.0
28/11/2020,PYPJZ,5.5
28/11/2020,ICMCI,32.3
28/11/2020,HMZOK,24.2
28/11/2020,WCSMC,18.4
28/11/2020,HLWUD,8.1
28/11/2020,YKIQR,11.7
28/11/2020,UNFLJ,0.0
28/11/2020,WGEZY,20.7
28/11/2020,PLHLQ,3.8
28/11/2020,AYINV,2.7
28/11/2020,GUPXF,23.9
28/11/2020,BWFCD,15.8
28/11/2020,GYMNW,5.3
28/11/2020,HHCQN,0.8
28/11/2020,JJBIF,7.4
28/11/2020,TPEFG,29.3
28/11/2020,AOGUO,21.9
28/11/2020,UOANU,8.0
28/11/2020,XIUXL,15.0
28/11/2020,LUIYB,9.2
28/11/2020,QPBTK,22.9
28/11/2020,VTQBI,1.5
28/11/2020,SUMFL,16.7
28/11/2020,BWODT,29.8
28/11/2020,AWXSX,11.0
28/11/2020,ZTIFF,30.8
28/11/2020,DIMPP,5.9
28/11/2020,NNBOW,17.1
28/11/2020,UHAEI,24.6
28/11/2020,UZXCI,3.6
28/11/2020,OCZXI,12.6
28/11/2020,HEXAM,31.6
28/11/2020,UGQWT,5.6
28/11/2020,FHPKL,29.2
28/11/2020,ZFMCJ,0.0
28/11/2020,QRGCJ,0.1
28/11/2020,NVDCV,14.3
28/11/2020,ZGOGT,19.3
28/11/2020,CNWLE,10.6
28/11/2020,DDXDJ,19.4
28/11/2020,ZPBEH,11.1
28/11/2020,RWKHX,5.9
28/11/2020,GYTYQ,21.1
28/11/2020,QOSNH,0.7
28/11/2020,FIVYC,21.7
28/11/2020,EPHKD,11.9
28/11/2020,ABXRZ,29.5
28/11/2020,MTAMV,22.3
28/11/2020,PVCPM,12.6
28/11/2020,QFUAR,0.7
28/11/2020,QDXPS,4.0
28/11/2020,CNNCK,6.5
28/11/2020,ROFTR,4.2
28/11/2020,MDGNI,25.5
28/11/2020,EDPGQ,0.8
28/11/2020,CMCRZ,1.7
28/11/2020,ACDHA,22.5
28/11/2020,AMSHS,20.9
28/11/2020,NONYR,17.5
28/11/2020,TEAAU,3.7
28/11/2020,SZLHA,9.8
28/11/2020,SBJSB,28.4
28/11/2020,LPMOG,10.4
28/11/2020,TLWDX,22.2
28/11/2020,GPZNX,26.4
28/11/2020,QPHPP,27.0
28/11/2020,OVHSC,25.3
28/11/2020,IOAEM,21.2
28/11/2020,MLMJR,20.7
28/11/2020,DHBIW,5.8
28/11/2020,NZHRS,2.3
28/11/2020,MLVGY,7.0
28/11/2020,DKVRB,7.8
28/11/2020,BNVFU,28.8
28/11/2020,ANYUE,1.2
28/11/2020,LBIBC,28.7
22/04/2022,VYVGI,29.3
22/04/2022,USQAC,21.2
22/04/2022,IPWXM,6.2
22/04/2022,DENKA,15.1
22/04/2022,HUUUZ,22.7
22/04/2022,PQBLT,16.8
22/04/2022,QQAGC,28.5
22/04/2022,SQORR,11.1
22/04/2022,ZLNXH,7.0
22/04/2022,DSAII,26.0
22/04/2022,ZQVSU,14.4
22/04/2022,ZQLQF,29.4
22/04/2022,JUALF,14.4
22/04/2022,ODNJR,18.8
22/04/2022,QTKNK,0.4
22/04/2022,NPFFO,7.6
22/04/2022,VODXF,17.0
22/04/2022,TRETF,13.4
22/04/2022,DTMHI,0.6
22/04/2022,JZGDA,1.6
22/04/2022,FSABB,0.5
22/04/2022,YMYHI,23.1
22/04/2022,VASJU,15.9
22/04/2022,KXFFP,9.1
22/04/2022,ORGYD,26.2
22/04/2022,HLLJI,22.0
22/04/2022,NBZGO,3.0
22/04/2022,YGMWM,14.2
22/04/2022,WOVHE,1.9
22/04/2022,PXLGY,29.2
22/04/2022,YDTEU,30.8
22/04/2022,SLZLX,17.9
22/04/2022,XGKEN,19.7
22/04/2022,EABDR,22.9
22/04/2022,NNQIH,10.7
22/04/2022,FTCLW,31.5
22/04/2022,ZJPKS,0.4
22/04/2022,GTJRP,26.3
22/04/2022,XFDUL,12.8
22/04/2022,MXPAM,28.7
22/04/2022,PYJZU,7.5
22/04/2022,VUBPL,28.2
22/04/2022,SMCRS,23.0
22/04/2022,SSNQX,7.0
22/04/2022,MYEJE,9.9
22/04/2022,JYWGJ,12.5
22/04/2022,VBGYH,2.4
22/04/2022,ALXPA,9.8
22/04/2022,OYSCR,27.9
22/04/2022,VKYDS,26.2
22/04/2022,HHVXE,14.9
22/04/2022,GOLZK,18.7
22/04/2022,AAGGK,26.2
22/04/2022,CSCHI,17.9
22/04/2022,NSTZL,31.3
22/04/2022,WYEFJ,17.8
22/04/2022,NYPJG,17.4
22/04/2022,QHLNE,9.0
22/04/2022,GKGVE,7.3
22/04/2022,PIDOD,23.8
22/04/2022,EFTDM,19.9
22/04/2022,DMPLW,4.2
22/04/2022,RXCIP,24.8
22/04/2022,WKOUM,19.1
22/04/2022,IPXXJ,1.0
22/04/2022,XBEOU,4.2
22/04/2022,UFWMZ,3.4
22/04/2022,CGILB,11.1
22/04/2022,ICRWF,6.5
22/04/2022,HLOHY,21.6
22/04/2022,UQJIF,15.0
22/04/2022,GGBYI,17.9
22/04/2022,JMXMO,0.7
22/04/2022,MVIRX,27.6
22/04/2022,HMWPM,19.2
22/04/2022,WMQGI,31.1
22/04/2022,FDUYC,28.1
22/04/2022,GVFBA,14.8
22/04/2022,GUWNT,15.5
22/04/2022,APNMN,16.1
22/04/2022,NUGGK,1.4
22/04/2022,TYCYW,9.1
22/04/2022,AOBUQ,16.5
22/04/2022,WRZIC,8.9
22/04/2022,PALPN,5.7
22/04/2022,LSCQF,16.2
22/04/2022,SNUWB,12.0
22/04/2022,OOWLJ,9.8
22/04/2022,VZGRS,16.3
22/04/2022,SUWIW,3.1
22/04/2022,IPBHI,2.8
22/04/2022,YWEYG,3.2
22/04/2022,XIHWT,7.6
22/04/2022,JIXYP,17.9
22/04/2022,GWDFV,0.7
22/04/2022,LECCX,17.9
22/04/2022,MRWAB,16.6
22/04/2022,GRSHX,6.6
22/04/2022,DUNVK,12.1
22/04/2022,FIAJG,6.9
22/04/2022,FKCFL,8.5
22/04/2022,RZXRA,7.0
22/04/2022,IFPOP,23.9
22/04/2022,SRZPM,30.7
22/04/2022,HGVHP,7.0
22/04/2022,WOGQR,2.8
22/04/2022,LHIDE,7.9
22/04/2022,DVWOH,6.3
22/04/2022,REKCM,7.0
22/04/2022,CXWBB,13.1
22/04/2022,GPVYT,31.7
22/04/2022,OLISD,30.7
22/04/2022,BIGSA,27.5
22/04/2022,RENLA,15.7
22/04/2022,DWOZD,24.4
22/04/2022,OFLUR,6.8
22/04/2022,IHJVV,1.5
22/04/2022,YRZRK,17.4
22/04/2022,PEVHE,22.3
22/04/2022,UHBWY,5.0
22/04/2022,WVAXG,29.2
22/04/2022,TYZGZ,25.6
22/04/2022,WTKCW,26.5
22/04/2022,GSOCR,8.0
22/04/2022,RRVRV,26.8
22/04/2022,YQRWY,6.7
22/04/2022,XCTZF,13.7
22/04/2022,EGZIU,0.1
22/04/2022,JBMHV,19.3
22/04/2022,FDEQR,11.5
22/04/2022,AVJOM,27.4
22/04/2022,UMNEI,30.3
22/04/2022,SYZEI,14.5
22/04/2022,CWLTI,24.1
22/04/2022,RAZMS,16.5
22/04/2022,KBBZU,29.4
22/04/2022,WRHTT,8.8
22/04/2022,FXWQA,22.7
22/04/2022,EFTSM,28.5
22/04/2022,SOAYS,16.9
22/04/2022,BBEFC,2.0
22/04/2022,BPYMG,2.8
22/04/2022,AOUGH,25.3
22/04/2022,QDFYZ,24.1
22/04/2022,EOVWI,4.0
22/04/2022,ZEHVO,12.8
22/04/2022,QEUVP,8.3
22/04/2022,DHQPF,6.9
22/04/2022,WIYLF,13.2
22/04/2022,NFQPX,27.8
22/04/2022,WJXRS,19.3
22/04/2022,QWFAU,24.8
22/04/2022,SJFRM,16.9
22/04/2022,FQDLL,13.6
22/04/2022,FQEJP,2.3
22/04/2022,TEXZM,28.7
22/04/2022,FLUAV,6.2
22/04/2022,PFNNW,28.3
22/04/2022,MTLAN,2.7
22/04/2022,KLBZI,21.0
22/04/2022,YPQNJ,25.0
22/04/2022,BYGJD,19.0
22/04/2022,KRFTL,23.4
22/04/2022,JZTIE,8.1
22/04/2022,XIRCS,16.5
22/04/2022,WCJUH,24.1
22/04/2022,VQCVX,26.7
22/04/2022,ZOHFZ,9.8
22/04/2022,VCKJR,3.7
22/04/2022,NCQEO,9.3
22/04/2022,FFRKS,24.4
22/04/2022,JFCPE,30.6
22/04/2022,RSEJJ,12.1
22/04/2022,WNYKN,13.0
22/04/2022,QRZBZ,7.3
22/04/2022,RHMHZ,28.7
22/04/2022,EGPYK,12.1
22/04/2022,IAEQS,32.4
22/04/2022,WNZHM,12.3
22/04/2022,HSWFZ,13.7
22/04/2022,PYPJZ,15.4
22/04/2022,ICMCI,3.0
22/04/2022,HMZOK,15.2
22/04/2022,WCSMC,6.4
22/04/2022,HLWUD,6.0
22/04/2022,YKIQR,22.1
22/04/2022,UNFLJ,11.8
22/04/2022,WGEZY,19.5
22/04/2022,PLHLQ,3.7
22/04/2022,AYINV,6.5
22/04/2022,GUPXF,12.6
22/04/2022,BWFCD,13.6
22/04/2022,GYMNW,9.0
22/04/2022,HHCQN,12.2
22/04/2022,JJBIF,18.6
22/04/2022,TPEFG,9.6
22/04/2022,AOGUO,22.1
22/04/2022,UOANU,4.8
22/04/2022,XIUXL,18.6
22/04/2022,LUIYB,8.2
22/04/2022,QPBTK,10.2
22/04/2022,VTQBI,23.5
22/04/2022,SUMFL,15.0
22/04/2022,BWODT,17.6
22/04/2022,AWXSX,14.3
22/04/2022,ZTIFF,12.1
22/04/2022,DIMPP,6.3
22/04/2022,NNBOW,15.2
22/04/2022,UHAEI,17.9
22/04/2022,UZXCI,2.5
22/04/2022,OCZXI,1.8
22/04/2022,HEXAM,30.4
22/04/2022,UGQWT,18.8
22/04/2022,FHPKL,3.8
22/04/2022,ZFMCJ,28.6
22/04/2022,QRGCJ,11.7
22/04/2022,NVDCV,5.8
22/04/2022,ZGOGT,15.9
22/04/2022,CNWLE,26.3
22/04/2022,DDXDJ,10.6
22/04/2022,ZPBEH,29.5
22/04/2022,RWKHX,11.5
22/04/2022,GYTYQ,0.7
22/04/2022,QOSNH,23.4
22/04/2022,FIVYC,16.8
22/04/2022,EPHKD,31.2
22/04/2022,ABXRZ,14.4
22/04/2022,MTAMV,12.1
22/04/2022,PVCPM,14.1
22/04/2022,QFUAR,0.3
22/04/2022,QDXPS,2.6
22/04/2022,CNNCK,15.3
22/04/2022,ROFTR,10.7
22/04/2022,MDGNI,23.2
22/04/2022,EDPGQ,14.0
22/04/2022,CMCRZ,30.5
22/04/2022,ACDHA,22.6
22/04/2022,AMSHS,20.8
22/04/2022,NONYR,19.7
22/04/2022,TEAAU,3.9
22/04/2022,SZLHA,3.5
22/04/2022,SBJSB,12.3
22/04/2022,LPMOG,1.7
22/04/2022,TLWDX,5.0
22/04/2022,GPZNX,14.5
22/04/2022,QPHPP,23.9
22/04/2022,OVHSC,11.0
22/04/2022,IOAEM,15.9
22/04/2022,MLMJR,28.4
22/04/2022,DHBIW,21.5
22/04/2022,NZHRS,30.5
22/04/2022,MLVGY,12.8
22/04/2022,DKVRB,28.9
22/04/2022,BNVFU,26.3
22/04/2022,ANYUE,3.4
22/04/2022,LBIBC,1.4
30/09/2021,VYVGI,10.1
30/09/2021,USQAC,12.1
30/09/2021,IPWXM,25.3
30/09/2021,DENKA,26.3
30/09/2021,HUUUZ,5.5
30/09/2021,PQBLT,5.9
30/09/2021,QQAGC,3.8
30/09/2021,SQORR,22.0
30/09/2021,ZLNXH,16.5
30/09/2021,DSAII,23.8
30/09/2021,ZQVSU,21.4
30/09/2021,ZQLQF,4.4
30/09/2021,JUALF,10.4
30/09/2021,ODNJR,10.2
30/09/2021,QTKNK,19.8
30/09/2021,NPFFO,26.7
30/09/2021,VODXF,12.8
30/09/2021,TRETF,13.8
30/09/2021,DTMHI,25.6
30/09/2021,JZGDA,2.3
30/09/2021,FSABB,25.1
30/09/2021,YMYHI,13.3
30/09/2021,VASJU,8.0
30/09/2021,KXFFP,15.8
30/09/2021,ORGYD,27.8
30/09/2021,HLLJI,1.9
30/09/2021,NBZGO,10.6
30/09/2021,YGMWM,1.4
30/09/2021,WOVHE,16.3
30/09/2021,PXLGY,0.6
30/09/2021,YDTEU,24.7
30/09/2021,SLZLX,3.5
30/09/2021,XGKEN,6.5
30/09/2021,EABDR,7.4
30/09/2021,NNQIH,23.7
30/09/2021,FTCLW,17.9
30/09/2021,ZJPKS,4.2
30/09/2021,GTJRP,26.4
30/09/2021,XFDUL,30.5
30/09/2021,MXPAM,24.7
30/09/2021,PYJZU,30.1
30/09/2021,VUBPL,14.9
30/09/2021,SMCRS,2.7
30/09/2021,SSNQX,17.6
30/09/2021,MYEJE,5.2
30/09/2021,JYWGJ,10.7
30/09/2021,VBGYH,11.9
30/09/2021,ALXPA,2.6
30/09/2021,OYSCR,24.8
30/09/2021,VKYDS,14.1
30/09/2021,HHVXE,20.1
30/09/2021,GOLZK,14.0
30/09/2021,AAGGK,13.5
30/09/2021,CSCHI,31.6
30/09/2021,NSTZL,9.2
30/09/2021,WYEFJ,18.9
30/09/2021,NYPJG,24.9
30/09/2021,QHLNE,20.0
30/09/2021,GKGVE,4.3
30/09/2021,PIDOD,27.9
30/09/2021,EFTDM,16.6
30/09/2021,DMPLW,16.5
30/09/2021,RXCIP,10.4
30/09/2021,WKOUM,6.3
30/09/2021,IPXXJ,10.7
30/09/2021,XBEOU,1.8
30/09/2021,UFWMZ,26.4
30/09/2021,CGILB,11.7
30/09/2021,ICRWF,17.3
30/09/2021,HLOHY,5.3
30/09/2021,UQJIF,1.4
30/09/2021,GGBYI,3.5
30/09/2021,JMXMO,5.1
30/09/2021,MVIRX,0.5
30/09/2021,HMWPM,28.4
30/09/2021,WMQGI,24.1
30/09/2021,FDUYC,25.7
30/09/2021,GVFBA,26.7
30/09/2021,GUWNT,18.2
30/09/2021,APNMN,6.1
30/09/2021,NUGGK,21.5
30/09/2021,TYCYW,4.9
30/09/2021,AOBUQ,7.4
30/09/2021,WRZIC,27.7
30/09/2021,PALPN,6.1
30/09/2021,LSCQF,16.5
30/09/2021,SNUWB,9.1
30/09/2021,OOWLJ,28.4
30/09/2021,VZGRS,19.4
30/09/2021,SUWIW,17.8
30/09/2021,IPBHI,24.4
30/09/2021,YWEYG,12.0
30/09/2021,XIHWT,29.5
30/09/2021,JIXYP,12.2
30/09/2021,GWDFV,16.2
30/09/2021,LECCX,24.2
30/09/2021,MRWAB,26.7
30/09/2021,GRSHX,27.8
30/09/2021,DUNVK,23.4
30/09/2021,FIAJG,27.2
30/09/2021,FKCFL,5.8
30/09/2021,RZXRA,13.3
30/09/2021,IFPOP,7.1
30/09/2021,SRZPM,31.4
30/09/2021,HGVHP,19.0
30/09/2021,WOGQR,29.9
30/09/2021,LHIDE,10.4
30/09/2021,DVWOH,24.1
30/09/2021,REKCM,23.1
30/09/2021,CXWBB,4.3
30/09/2021,GPVYT,28.5
30/09/2021,OLISD,11.3
30/09/2021,BIGSA,32.1
30/09/2021,RENLA,10.9
30/09/2021,DWOZD,5.5
30/09/2021,OFLUR,24.3
30/09/2021,IHJVV,31.8
30/09/2021,YRZRK,30.2
30/09/2021,PEVHE,23.1
30/09/2021,UHBWY,26.5
30/09/2021,WVAXG,19.2
30/09/2021,TYZGZ,17.5
30/09/2021,WTKCW,31.0
30/09/2021,GSOCR,13.7
30/09/2021,RRVRV,25.4
30/09/2021,YQRWY,10.7
30/09/2021,XCTZF,8.0
30/09/2021,EGZIU,0.0
30/09/2021,JBMHV,26.4
30/09/2021,FDEQR,7.7
30/09/2021,AVJOM,12.6
30/09/2021,UMNEI,20.5
30/09/2021,SYZEI,31.6
30/09/2021,CWLTI,9.0
30/09/2021,RAZMS,8.2
30/09/2021,KBBZU,28.8
30/09/2021,WRHTT,2.6
30/09/2021,FXWQA,26.0
30/09/2021,EFTSM,1.3
30/09/2021,SOAYS,13.4
30/09/2021,BBEFC,25.7
30/09/2021,BPYMG,18.9
30/09/2021,AOUGH,0.5
30/09/2021,QDFYZ,13.4
30/09/2021,EOVWI,6.7
30/09/2021,ZEHVO,16.1
30/09/2021,QEUVP,26.1
30/09/2021,DHQPF,17.7
30/09/2021,WIYLF,18.8
30/09/2021,NFQPX,24.6
30/09/2021,WJXRS,4.1
30/09/2021,QWFAU,10.9
30/09/2021,SJFRM,13.8
30/09/2021,FQDLL,23.7
30/09/2021,FQEJP,18.3
30/09/2021,TEXZM,20.0
30/09/2021,FLUAV,32.0
30/09/2021,PFNNW,30.0
30/09/2021,MTLAN,20.5
30/09/2021,KLBZI,24.6
30/09/2021,YPQNJ,30.8
30/09/2021,BYGJD,26.5
30/09/2021,KRFTL,17.0
30/09/2021,JZTIE,14.6
30/09/2021,XIRCS,20.0
30/09/2021,WCJUH,22.3
30/09/2021,VQCVX,6.4
30/09/2021,ZOHFZ,19.5
30/09/2021,VCKJR,3.3
30/09/2021,NCQEO,16.9
30/09/2021,FFRKS,1.0
30/09/2021,JFCPE,18.4
30/09/2021,RSEJJ,7.3
30/09/2021,WNYKN,31.4
30/09/2021,QRZBZ,31.1
30/09/2021,RHMHZ,22.1
30/09/2021,EGPYK,2.9
30/09/2021,IAEQS,21.7
30/09/2021,WNZHM,1.1
30/09/2021,HSWFZ,31.6
30/09/2021,PYPJZ,10.7
30/09/2021,ICMCI,11.4
30/09/2021,HMZOK,5.7
30/09/2021,WCSMC,29.8
30/09/2021,HLWUD,11.1
30/09/2021,YKIQR,10.8
30/09/2021,UNFLJ,8.3
30/09/2021,WGEZY,17.7
30/09/2021,PLHLQ,18.5
30/09/2021,AYINV,31.6
30/09/2021,GUPXF,18.1
30/09/2021,BWFCD,5.2
30/09/2021,GYMNW,21.5
30/09/2021,HHCQN,32.6
30/09/2021,JJBIF,18.0
30/09/2021,TPEFG,24.4
30/09/2021,AOGUO,6.9
30/09/2021,UOANU,10.4
30/09/2021,XIUXL,17.6
30/09/2021,LUIYB,6.9
30/09/2021,QPBTK,12.9
30/09/2021,VTQBI,20.6
30/09/2021,SUMFL,27.5
30/09/2021,BWODT,29.3
30/09/2021,AWXSX,14.8
30/09/2021,ZTIFF,11.1
30/09/2021,DIMPP,23.7
30/09/2021,NNBOW,30.0
30/09/2021,UHAEI,23.9
30/09/2021,UZXCI,15.9
30/09/2021,OCZXI,5.9
30/09/2021,HEXAM,14.3
30/09/2021,UGQWT,14.3
30/09/2021,FHPKL,23.6
30/09/2021,ZFMCJ,4.0
30/09/2021,QRGCJ,6.4
30/09/2021,NVDCV,14.4
30/09/2021,ZGOGT,15.2
30/09/2021,CNWLE,28.6
30/09/2021,DDXDJ,4.4
30/09/2021,ZPBEH,31.2
30/09/2021,RWKHX,11.0
30/09/2021,GYTYQ,12.2
30/09/2021,QOSNH,26.8
30/09/2021,FIVYC,10.4
30/09/2021,EPHKD,31.6
30/09/2021,ABXRZ,15.1
30/09/2021,MTAMV,26.5
30/09/2021,PVCPM,4.3
30/09/2021,QFUAR,20.4
30/09/2021,QDXPS,17.3
30/09/2021,CNNCK,3.6
30/09/2021,ROFTR,32.7
30/09/2021,MDGNI,29.2
30/09/2021,EDPGQ,2.8
30/09/2021,CMCRZ,6.2
30/09/2021,ACDHA,12.1
30/09/2021,AMSHS,18.9
30/09/2021,NONYR,5.6
30/09/2021,TEAAU,23.8
30/09/2021,SZLHA,13.9
30/09/2021,SBJSB,25.8
30/09/2021,LPMOG,23.5
30/09/2021,TLWDX,25.0
30/09/2021,GPZNX,26.2
30/09/2021,QPHPP,15.6
30/09/2021,OVHSC,23.8
30/09/2021,IOAEM,19.7
30/09/2021,MLMJR,16.1
30/09/2021,DHBIW,13.3
30/09/2021,NZHRS,23.0
30/09/2021,MLVGY,25.7
30/09/2021,DKVRB,24.2
30/09/2021,BNVFU,6.4
30/09/2021,ANYUE,21.0
30/09/2021,LBIBC,4.7
04/03/2022,VYVGI,12.3
04/03/2022,USQAC,10.0
04/03/2022,IPWXM,2.6
04/03/2022,DENKA,11.8
04/03/2022,HUUUZ,23.0
04/03/2022,PQBLT,30.9
04/03/2022,QQAGC,4.5
04/03/2022,SQORR,3.1
04/03/2022,ZLNXH,24.8
04/03/2022,DSAII,30.4
04/03/2022,ZQVSU,23.4
04/03/2022,ZQLQF,29.3
04/03/2022,JUALF,28.7
04/03/2022,ODNJR,7.4
04/03/2022,QTKNK,32.3
04/03/2022,NPFFO,3.9
04/03/2022,VODXF,4.2
04/03/2022,TRETF,13.9
04/03/2022,DTMHI,24.4
04/03/2022,JZGDA,10.0
04/03/2022,FSABB,26.7
04/03/2022,YMYHI,7.2
04/03/2022,VASJU,12.6
04/03/2022,KXFFP,13.4
04/03/2022,ORGYD,31.4
04/03/2022,HLLJI,19.0
04/03/2022,NBZGO,22.5
04/03/2022,YGMWM,27.5
04/03/2022,WOVHE,0.2
04/03/2022,PXLGY,6.2
04/03/2022,YDTEU,22.5
04/03/2022,SLZLX,14.6
04/03/2022,XGKEN,28.8
04/03/2022,EABDR,9.1
04/03/2022,NNQIH,1.9
04/03/2022,FTCLW,5.9
04/03/2022,ZJPKS,22.3
04/03/2022,GTJRP,22.0
04/03/2022,XFDUL,32.8
04/03/2022,MXPAM,29.2
04/03/2022,PYJZU,14.3
04/03/2022,VUBPL,22.7
04/03/2022,SMCRS,21.6
04/03/2022,SSNQX,25.8
04/03/2022,MYEJE,2.1
04/03/2022,JYWGJ,19.7
04/03/2022,VBGYH,24.5
04/03/2022,ALXPA,27.8
04/03/2022,OYSCR,8.5
04/03/2022,VKYDS,9.2
